NOME_DO_LOCAL,ENDERECO,WHATSAPP,ITENS_DISPONIVEIS,ITENS_EM_FALTA,LATITUDE,LONGITUDE,CIDADE
EEEF GONÇALVES DIAS - IAPI [EVACUADO],"R. Candiota, 145 - Passo d'Areia, Porto Alegre - RS, 91030-020 - Rio Grande do Sul",Não informado,Água,Não informado,-30.0105687,-51.1738554,Porto Alegre
PAROQUIA SANTA ISABEL - VIAMÃO,"Avenida Liberdade N° 1826, Santa Isabel, Viamão - Rio Grande do Sul",Não informado,Água,Não informado,-30.0656309,-51.1068945,Viamão
IGREJA IMPACTANDO GERAÇÕES,"Bernardino Silveira Amorim, 1479 - Rio Grande do Sul",51982658855,Água,Não informado,-29.3646459,-51.6657692,Boa Vista do Sul
WEBMAX (STUDIO KANGOO),"Av. Boqueirão, 1871 - Igara, Canoas - Rio Grande do Sul",Não informado,Água,Não informado,-29.9053871,-51.157363,Canoas
PROJETO SURFAR,"R. Borborema, 687 - E 691 - Vila Joao Pessoa, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0674814,-51.17660799999999,Porto Alegre
ALIANÇA CRISTÃ DE PORTO ALEGRE,"Av. Baltazar De Oliveira Garcia, 3580 - Rio Grande do Sul",51998666612,Água,Não informado,-30.0156007,-51.1096686,Porto Alegre
PARÓQUIA NOSSA SENHORA DE MONT SERRAT,"R Anita Garibaldi, 1121 - Mont'serrat, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.02647259999999,-51.1845515,Porto Alegre
MEVAM,"Ernardino Silveira Pastoriza, 880 – Santa Rosa De Lima - Rio Grande do Sul",51983168144,Água,Não informado,-29.99081799999999,-51.099756,Porto Alegre
CF VIKINGS,"Rua Visconde De Pelotas, 473 - Rio Grande do Sul",Não informado,Água,Não informado,-32.0591889,-52.17072899999999,Rio Grande
COZINHA COMUNITÁRIA VIDAS DE LUZ,"Rua Chácara Dos Bombeiros, 01 (zona Leste) - Rio Grande do Sul",Não informado,Água,Não informado,-29.3646459,-51.6657692,Boa Vista do Sul
ALOJAMENTO IGREJA - SÃO LEOPOLDO,"Rua 8ª Bc, 694 - Fião - Rio Grande do Sul",Não informado,Água,Não informado,-29.7782048,-51.1547007,São Leopoldo
PARÓQUIA SAGRADA FAMÍLIA,"R. José Do Patrocínio, 954 - Cidade Baixa, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0424264,-51.22011879999999,Porto Alegre
IGREJA BETEL,"AV. Bernadino Silveira Pastoriza, 771 - Bairro Santa Rosa - Rio Grande do Sul",51984414614,Água,Não informado,-27.8709283,-54.4833028,Santa Rosa
IGREJA QUADRANGULAR - COSTA E SILVA,Avenida Dante Ângelo Pilla 285 / Costa E Silva - Rio Grande do Sul,Não informado,Água,Não informado,-30.0125509,-51.1184693,Porto Alegre
IGREJA ASSEMBLEIA DE DEUS,"Rua Cinco, 60, Vila Das Laranjeiras - Rio Grande do Sul",Não informado,Água,Não informado,-32.0407893,-52.1016953,Rio Grande
CRE BRASIL,"A J Renner 1275 - Estância Velha, Canoas - Rio Grande do Sul",Não informado,Água,Não informado,-29.915818,-51.146055,Canoas
ESCOLA VICTOR ISLER,"R. Dezenove De Fevereiro, 330 - Mário Quintana, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0353319,-51.1167863,Porto Alegre
IGREJA CRISTÃ FILADÉLFIA,"Oscar Pereira, 1434 - Rio Grande do Sul",51982850345,Água,Não informado,-29.3646459,-51.6657692,Boa Vista do Sul
ESPAÇO COMUNITÁRIO MULTIPLICIDADE POA,"Rua 6 De Novembro, 332 - Mário Quintana, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0331154,-51.1176897,Porto Alegre
ESTACIONAMENTO BOURBON ASSIS BRASIL,"Av. Assis Brasil, 164 - São João, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0063911,-51.1843574,Porto Alegre
COZINHA SOLIDÁRIA MÃOS QUE ACOLHEM,"Rua Dos Canudos, 625- Cascata - Rio Grande do Sul",Não informado,Água,Não informado,-30.0951111,-51.1715937,Porto Alegre
BNB CHURCH,"Av. Ipiranga, 8223 - Jardim Botânico, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0579891,-51.1547882,Porto Alegre
CASA DA JUVENTUDE MARISTA,"Estrada Aracaju, 651 - Vila Nova, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.103381,-51.21671550000001,Porto Alegre
PARÓQUIA SÃO VICENTE MÁRTIR,"Rua Victor Silva, 186 - Camaquã - Rio Grande do Sul",Não informado,Água,Não informado,-30.1078132,-51.2412989,Porto Alegre
CREMERS,"Rua Bernardo Pires, 415 - Santana, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0466914,-51.2043267,Porto Alegre
INSTITUTO SÃO FRANCISCO - PALLOTTI,"R. Tupi, 212 - Passo D'areia, Porto Alegre - Rs, 90010-090 - Rio Grande do Sul",51999977133,Água,Não informado,-30.0101547,-51.1696091,Porto Alegre
EMEF MARTIM ARANHA,"R. Cônego Paulo Isidoro De Nadal, 1 - Santa Tereza, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0846066,-51.2289312,Porto Alegre
CLINICA VET HUG,"R. São Luís, 316 - Santana, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0458351,-51.2053828,Porto Alegre
ABBA IGREJA,"R. Dona Alzira, 420 - Sarandi, Porto Alegre - Rs, 91110-010 - Jardim Itu - Rio Grande do Sul",Não informado,Água,Não informado,-30.0063804,-51.1384687,Porto Alegre
ESCOLA CUSTÓDIO,"Rua Argemiro Ogando Corrêa, 220 - Serraria, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.1645397,-51.2281356,Porto Alegre
CEEE IPIRANGA,"Av. Ipiranga, 8300 - Rio Grande do Sul",Não informado,Água,Não informado,-32.0467613,-52.0857006,Rio Grande
CTG SENTINELA DOS PAMPAS,"R. Ivo Janson, 31 - Partenon, Porto Alegre - RS, 91530-070 - Rio Grande do Sul",Não informado,Água,Não informado,-30.05773319999999,-51.15952009999999,Porto Alegre
CEEE VILA NOVA,Av. Joaquim Porto Vila Nova - Rio Grande do Sul,Não informado,Água,Não informado,-30.053574,-51.1594639,Porto Alegre
SOCIEDADE HIPICA,"Nossa Senhora De Guadalupe, 249/339 - Hípica, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.16292259999999,-51.1855185,Porto Alegre
COLÉGIO MARISTA ASSUNÇÃO,"R. Dom Bosco, 103 - Glória, Porto Alegre - RS, 91110-460 - Rio Grande do Sul",Não informado,Água,Não informado,-30.0754208,-51.2029509,Porto Alegre
ASSOCIAÇÃO DE MORADORES DA VILA DAS LARANJEIRAS/MORRO SANTANA,"Rua Cinco, 20, Vila Das Laranjeiras (ao Lado Do Posto De Saúde), Morro Santana, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0468476,-51.1293184,Porto Alegre
NILO 2400,"Av Dr Nilo Pecanha 2400 , Porto Alegre, Bairro Boa Vista - Rio Grande do Sul",5151990197332,Água,Não informado,-30.027971,-51.1683017,Porto Alegre
TEATRO RENASCENÇA [EVACUADO],"Av. Érico Veríssimo, 307 - Menino Deus, Porto Alegre - RS, 90160-181 - Rio Grande do Sul",Não informado,Água,Não informado,-30.0474023,-51.2189333,Porto Alegre
GIGANTINHO,"Avenida Padre Cacique, 891 Ao lado do estádio Beira-Rio - Praia de Belas, Porto Alegre - RS, 90810-240 - Rio Grande do Sul",Não informado,Água,Não informado,-30.065066,-51.2365144,Porto Alegre
CASA MARISTA DA JUVENTUDE CAJU,"Estrada Aracaju, 651 - Vila Nova, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.103381,-51.21671550000001,Porto Alegre
ESCOLA SÃO FRANCISCO,"Rua Victor Silva, 186 - Camaquã, Porto Alegre - RS, 91910-170 - Rio Grande do Sul",Não informado,Água,Não informado,-30.1078132,-51.2412989,Porto Alegre
IGREJA ROSA DE SAROM,"Rua Beco Souza Costa, 174, Morro Santana - Rio Grande do Sul",Não informado,Água,Não informado,-30.0445068,-51.136276,Porto Alegre
APAMECOR (ITEM DUPLICADO: COL. MARISTA ROSÁRIO),"R. Fernando Osório, 1156 - Teresópolis, Porto Alegre - Rs, 91720-330 - Rio Grande do Sul",Não informado,Água,Não informado,-30.092865,-51.20581689999999,Porto Alegre
ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RS (AFISVEC),"Rua Salvador Calamucci, 56 - Cavalhada, Porto Alegre, 91740-280 - Rio Grande do Sul",Não informado,Água,Não informado,-30.09702829999999,-51.2269952,Porto Alegre
OAB,Aureliano Figueredo Pinto 620 - Rio Grande do Sul,Não informado,Água,Não informado,-29.3646459,-51.6657692,Boa Vista do Sul
ASSOCIAÇÃO BIBLIOTECA BORORÓ,"Rua Bororó, 21, Vila Assunção, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.097072,-51.2524539,Porto Alegre
ASPIRANTES DE CRISTO,"R. Parlamento, 115 - Morro Santana, Porto Alegre - Rio Grande do Sul",Não informado,Água,Não informado,-30.0397657,-51.120779,Porto Alegre
ASSOCIAÇÃO MORADORES - SÃO LEOPOLDO,"Vila União - R. Islândia, 49 - Rio Grande do Sul",Não informado,Água,Não informado,-29.5614908,-52.8848633,Candelária
ESCOLA ESTADUAL POLISINOS - SÃO LEOPOLDO,"Rua Dom Pedro, 42 - Rio Branco - Rio Grande do Sul",Não informado,Água,Não informado,-30.0334849,-51.2057113,Porto Alegre
ESCOLA ESTADUAL AMADEO ROSSI - SÃO LEOPOLDO,Rua São Sepé Esquina Viamão/sn Morro Santa Teresa - Rio Grande do Sul,Não informado,Água,Não informado,-30.0827721,-51.0340956,Viamão
EMEF TANCREDO NEVES - SÃO LEOPOLDO,"Rua Nove, 678 - Tancredo Neves - Rio Grande do Sul",Não informado,Água,Não informado,-29.692781,-53.8800016,Santa Maria
ESCOLA ESTADUAL JOÃO HILLEBRAND - SÃO LEOPOLDO,"Rua Otto José Bol, S/n - Feitoria - Rio Grande do Sul",Não informado,Água,Não informado,-29.7536013,-51.1080293,São Leopoldo
GINÁSIO PADRE REUS - SÃO LEOPOLDO,"Avenida Mauá, 2767 - Padre Réus - Rio Grande do Sul",Não informado,Água,Não informado,-29.7804647,-51.1434706,São Leopoldo
ASSOCIAÇÃO CAMPO PENHAROL - SÃO LEOPOLDO,"Rua Diamante, S/n - Scharlau - Rio Grande do Sul",Não informado,Água,Não informado,-29.7167589,-51.1620275,São Leopoldo
EEIP MAIOR PINTOR DO MUNDO - SÃO LEOPOLDO,"Av. Feitoria, 2784, Feitoria - Rio Grande do Sul",Não informado,Água,Não informado,-29.7611148,-51.1112818,São Leopoldo
EMEF PAUL HARRIS - SÃO LEOPOLDO,"Rua Montivideu, 57 - Santa Tereza - Rio Grande do Sul",Não informado,Água,Não informado,-29.7843201,-51.140694,São Leopoldo
EMEF DR. PAULO COUTO - SÃO LEOPOLDO,"Rua Veranópolis, 56 Arroio Da Manteiga - Rio Grande do Sul",Não informado,Água,Não informado,-29.7301061,-51.1788213,São Leopoldo
EEIP AQUARELA KIDS - SÃO LEOPOLDO,"Rua Jacob F Rieth, 314, Jardim América - Rio Grande do Sul",Não informado,Água,Não informado,-29.7789096,-51.12858869999999,São Leopoldo
IGREJA KENNED - SÃO LEOPOLDO,"Rua Mercurio, 928 - Santa Tereza - Rio Grande do Sul",Não informado,Água,Não informado,-29.7883768,-51.1309119,São Leopoldo
EEIP CRIANÇA FELIZ - SÃO LEOPOLDO,"Rua Florianópolis, 547, Arroio Da Manteiga - Rio Grande do Sul",Não informado,Água,Não informado,-29.7288387,-51.1817728,São Leopoldo
CTG SEPÉ TIARAJÚ - SÃO LEOPOLDO,"Av. Henrique Bier, 4075 - Campina - Rio Grande do Sul",Não informado,Água,Não informado,-29.7284791,-51.1827903,São Leopoldo
EEEF HAYDEE - SÃO LEOPOLDO,"Rua Jordãnia, S/n - Feitoria - Rio Grande do Sul",Não informado,Água,Não informado,-29.7623378,-51.0901607,São Leopoldo
EMEF JOSÉ GRIMBERG - SÃO LEOPOLDO,Rua Sérgio/ Sn - Boa Vista - Rio Grande do Sul,Não informado,Água,Não informado,-29.6988472,-51.19347029999999,São Leopoldo
EEIP NOVA GERAÇÃO - SÃO LEOPOLDO,"Rua Alberto Uebel, 591, Feitoria - Rio Grande do Sul",Não informado,Água,Não informado,-29.759214,-51.103283,São Leopoldo
EMEF CLODOMIR VIANNA MOOG - SÃO LEOPOLDO,"Rua Leopoldo Karnal, 291 Scharlau - Rio Grande do Sul",Não informado,Água,Não informado,-29.7279003,-51.155395,São Leopoldo
IGREJA - SÃO LEOPOLDO,"Rua Jacob Uebel, 265 - Santo André - Rio Grande do Sul",Não informado,Água,Não informado,-29.7689592,-51.1183808,São Leopoldo
CCEI CRIANÇA JEDIDIAS - SÃO LEOPOLDO,"Rua Carlos Bier, 110, Feitoria - Rio Grande do Sul",Não informado,Água,Não informado,-29.7542768,-51.10173229999999,São Leopoldo
EMEI CARLOS MORAES - SÃO LEOPOLDO,"Av. Integração, 2119 - Feitoria - Rio Grande do Sul",Não informado,Água,Não informado,-29.7612655,-51.0992839,São Leopoldo
EMEF SANTA MARTA - SÃO LEOPOLDO,"Rua Eva Moreira Dos Santos, 48 - Arroio Da Manteiga - Rio Grande do Sul",Não informado,Água,Não informado,-29.7257651,-51.1891166,São Leopoldo
IGREJA MAFT - SÃO LEOPOLDO,Av Feitoria 2944 - Rio Grande do Sul,Não informado,Água,Não informado,-29.7543524,-51.09783470000001,São Leopoldo
IGREJA BATISTA - SÃO LEOPOLDO,"Rua Jorge Meyer, 108 - Feitoria - Rio Grande do Sul",Não informado,Água,Não informado,-29.7522169,-51.09474909999999,São Leopoldo
ASSOCIAÇÃO PARQUE ITAPEMA - SÃO LEOPOLDO,Parque Itapema - Rio Grande do Sul,Não informado,Água,Não informado,-27.0965505,-48.6164234,Itapema
GINÁSIO ALIANÇA ESPORTIVA BOTAFOGO - SÃO LEOPOLDO,"Av. Padre Santin, 760 - Jardim América - Rio Grande do Sul",Não informado,Água,Não informado,-29.7900767,-51.1281113,São Leopoldo
CEPA - SÃO LEOPOLDO,"Rua Rio Paraguaçu, 178 - Arroio Da Manteiga - Rio Grande do Sul",Não informado,Água,Não informado,-29.7232303,-51.1856036,São Leopoldo
COLÉGIO CONCÓRDIA - SÃO LEOPOLDO,"Av. Getúlio Vargas, 4388 - São João Batista - Rio Grande do Sul",Não informado,Água,Não informado,-29.79616,-51.16464999999999,Sapucaia do Sul
EEIP PEQUENA SEMENTE - SÃO LEOPOLDO,"Rua Lupicinio Rodrigues, 253, Arroio Da Manteiga - Rio Grande do Sul",Não informado,Água,Não informado,-29.71636,-51.1871269,São Leopoldo
EMEF HOHENDORFF - SÃO LEOPOLDO,"Rua Eugênio Berger, 100 - Scharlau - Rio Grande do Sul",Não informado,Água,Não informado,-29.725776,-51.1606897,São Leopoldo
OCUPAÇÃO MORADA DO SOL - SÃO LEOPOLDO,Estrada Do Morro Do Paula - Rio Grande do Sul,Não informado,Água,Não informado,-29.3646459,-51.6657692,Boa Vista do Sul
SOCIEDADE UNIÃO - SÃO LEOPOLDO,"Rua Reinaldo Becker, 168 - Scharlau - Rio Grande do Sul",Não informado,Água,Não informado,-29.7310037,-51.1522095,São Leopoldo
EEEM PROF. HAYDEE MELLO ROSTIROLLA - SÃO LEOPOLDO,"R. Jordânia, Sn - Feitoria, São Leopoldo - Rio Grande do Sul",Não informado,Água,Não informado,-29.7623378,-51.0901607,São Leopoldo
PARÓQUIA NOSSA SENHORA AUXILIADORA,"R. 24 De Outubro, 1751 - Auxiliadora, Porto Alegre - Rs, 90510-003 - Rio Grande do Sul",Não informado,Água,Não informado,-30.0221588,-51.1914053,Porto Alegre
PARÓQUIA SÃO ROQUE - SÃO LEOPOLDO,"Rua Henrique Scharlau, S/n (ao Lado Da Emef Paulo Couto) - Rio Grande do Sul",Não informado,Água,Não informado,-29.727583,-51.1521124,São Leopoldo
IGREJA EVANGELICA ASSEMBLEIA DE DEUS CONGREGAÇAO VILA TEREZA - SÃO LEOPOLDO,"Av. John Kennedy 93, Vila Tereza - Rio Grande do Sul",Não informado,Água,Não informado,-29.3646459,-51.6657692,Boa Vista do Sul
ABSTER - SÃO LEOPOLDO,"Rua Monte Videl, 57 - Rio Grande do Sul",Não informado,Água,Não informado,-32.1881839,-52.1583547,Rio Grande
ORBITA - CANOAS,"Rua Liberdade, 980 - Rio Grande do Sul",51995080094,Água,Não informado,-29.3646459,-51.6657692,Boa Vista do Sul
SINDICATO DOS METALURGICOS - BIGORNÃO - SÃO LEOPOLDO,"Rua Davi Canabarro, 10 - Morro Do Espelho - Rio Grande do Sul",Não informado,Água,Não informado,-29.7801154,-51.1393731,São Leopoldo
LAR SANTA ELISABETE / COLÉGIO SÃO JOSÉ - SÃO LEOPOLDO,"Rua Mauá, 980 - Centro - Rio Grande do Sul",Não informado,Água,Não informado,-28.6298695,-53.0924768,Ibirubá
ESCOLA IRMÃO WEIBERT - SÃO LEOPOLDO,"Av. João Corrêa S/n, São Leopoldo - Rio Grande do Sul",Não informado,Água,Não informado,-29.771974,-51.1515106,São Leopoldo
PIQUETE ACAMPAMENTO ATGF - SÃO LEOPOLDO,"Rua Otto Daudt, 831 - São Geraldo - Feitoria - Rio Grande do Sul",Não informado,Água,Não informado,-29.7476594,-51.0991697,São Leopoldo
PARÓQUIA NOSSA SENHORA APARECIDA - SÃO LEOPOLDO,"Av. Parobé, S/n - Scharlau - Rio Grande do Sul",Não informado,Água,Não informado,-29.7266851,-51.1596456,São Leopoldo
PARÓQUIA DA VILA ELZA - SÃO LEOPOLDO,"Rua Amaro Cavalcante, 1 - Arroio Da Manteiga - Rio Grande do Sul",Não informado,Água,Não informado,-29.7314729,-51.1703392,São Leopoldo
COLÉGIO RONDÔNIA - CANOAS,"Av. A.j. Renner, 211 - Estância Velha - Rio Grande do Sul",51998111134,Água,Não informado,-29.9258918,-51.1467043,Canoas
ABRIGO DA GRUTA,"Rua Da Gruta, 240 - Glória - Rio Grande do Sul",Não informado,Água,Não informado,-30.0837038,-51.1893198,Porto Alegre
COMPLEXO LIBERTAD - CANOAS,"R. Araguaia, 335 - Igara, Canoas - Rs, 92410-001 - Rio Grande do Sul",51996881066,Água,Não informado,-29.9018183,-51.1737975,Canoas
SESI - SÃO LEOPOLDO,"Rua Alberto Scherer, 743 - Jardim América - Rio Grande do Sul",Não informado,Água,Não informado,-29.7755717,-51.13120139999999,São Leopoldo
COLÉGIO LEONARDO DA VINCI - CANOAS,"R. Aurora, 695 - Mal. Rondon, Canoas - Rio Grande do Sul",51991994373,Água,Não informado,-29.9103979,-51.1738952,Canoas